#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Perseus,J032857.2+311419,0.0,-1.8,2000.0,2.2,-1.72,2000.0,2.2,N,52.23833333333333,31.238611111111112,III
Perseus,J032857.3+311415,5.9,1.6,100.0,5.3,1.4,110.0,5.7,Y,52.23874999999999,31.2375,0+I
Perseus,J032857.7+311948,4.6,-0.6,1400.0,0.076,-0.96,1700.0,0.12,N,52.24041666666666,31.33,II
Perseus,J032858.1+311803,3.6,-2.2,1900.0,0.058,-2.37,2000.0,0.094,N,52.242083333333326,31.300833333333333,III
Perseus,J032858.2+312209,9.8,-0.5,820.0,0.019,-0.99,1300.0,0.039,N,52.24249999999999,31.36916666666667,II
Perseus,J032858.2+312202,9.1,-0.7,1200.0,0.031,-1.07,1600.0,0.072,N,52.24249999999999,31.36722222222222,II
Perseus,J032858.4+312217,5.9,0.8,240.0,0.96,0.82,280.0,1.1,Y,52.243333333333325,31.37138888888889,0+I
Perseus,J032859.2+312032,5.9,0.1,770.0,0.0057,-0.02,1100.0,0.0086,N,52.246666666666655,31.342222222222222,Flat
Perseus,J032859.3+311548,5.9,0.1,100.0,3.2,-0.08,140.0,3.4,Y,52.24708333333333,31.263333333333332,Flat
Perseus,J032859.5+312146,8.0,-0.8,1300.0,0.22,-1.11,1600.0,0.48,N,52.247916666666654,31.36277777777778,II
Perseus,J032900.5+311200,5.9,2.2,30.0,0.66,1.96,30.0,0.67,Y,52.25208333333333,31.2,0+I
